 2nd delta,PS Residual
-0.705148935,351.3915983
0.138666339,351.3915983
-0.022945099,346.6066351
-0.160446003,340.2167861
0.291519772,327.1801388
-0.255869597,335.6265512
0.07872862,333.4410565
-0.115981109,331.3049235
-0.018968694,333.7655634
0.003505487,322.1679818
0.644738093,308.3341325
-0.567156367,305.4086305
0.993556466,309.461108
-0.56995289,326.5340719
-0.190828845,329.4598791
0.640332069,332.801059
0.532071628,210.5925126
-0.266661834,212.3434985
0.293600112,214.2922644
-0.388731271,241.2302544
-0.117858447,282.5542939
-0.017980851,289.5968551
-0.392758042,289.3492579
-0.212298553,278.2084229
-0.217810627,276.1218716
0.120258354,276.1668334
0.696239237,281.702899
-0.214826427,207.1665125
-0.200669371,205.7307782
1.126672253,201.9424752
0.819197971,200.4042744
0.094362538,209.0077836
0.250866063,209.1364576
-0.440883659,208.5494671
-0.117523104,206.4361871
0.450278524,204.9107582
-0.16245712,204.3555959
-0.231339924,203.9784542
0.494439226,203.9205261
-0.840683509,200.6024576
1.204057027,200.8544725
-0.093669664,200.5453218
0.017070659,203.7833281
-0.023257837,202.7104599
-0.24549894,211.5527362
0.056985267,209.0273995
0.120586611,207.2874022
7.32E-04,192.9468107
-0.240593802,180.4596758
0.758826252,179.3787541
-4.662872277,181.728417
4.492120475,184.8631088
0.458884995,185.968514
0.018179368,186.9584274
0.325801753,187.0920946
-0.118319061,189.9345981
0.019299626,193.2808323
0.258570999,194.8937048
-0.147753216,196.4398068
-0.047866534,197.3470021
0.438509502,197.3785557
0.14375934,198.5524808
-0.036837731,199.2548707
0.497136872,199.1601394
-0.185049571,199.9483563
0.163793728,205.3244395
0.138445243,199.5173869
0.147274155,203.8452772
0.262486752,201.1625832
-0.065039486,215.8991392
0.27215492,205.2877457
0.290024128,194.5740369
0.215428106,181.4771815
0.008988205,182.2761644
0.25630511,182.3325228
0.143149186,180.5593047
-0.32644847,197.4876056
-1.934769932,213.6082933
2.45463784,211.2917364
-0.231573336,195.7032967
0.671551079,189.1678481
-0.400908571,186.6269777
-0.098193087,186.1762447
0.580387998,186.0856527
0.173496097,186.0956963
0.409098923,169.1109568
0.034063358,172.462547
-0.190831665,197.6485784
0.207928814,208.0426673
0.147283252,213.7528558
-0.019291598,174.8519386
0.387978684,133.3921514
0.043465968,166.8687136
0.718496073,187.9311121
-0.36702637,200.8439239
0.235804729,218.8325153
-0.814223129,232.4796381
0.588992946,231.3351193
0.37911512,101.1798177
0.321362555,142.2676074
0.15210804,163.7071726
0.123128746,177.9104863
-0.127176888,180.5994822
1.299842708,95.69675673
-0.525803007,115.0156887
0.341311816,139.0349362
-0.471313644,148.5340386
0.066020995,156.6850918
-0.013751574,158.9562527
1.096554331,164.9316804
-0.28391977,175.4050228
0.653693534,231.9630388
-0.095967948,27.26925333
0.334277559,41.07383836
-0.249110565,41.07383836
0.113678142,85.86413318
-0.279750749,111.9551097
-0.110473495,121.9078506
-0.170456942,142.0337217
0.245212752,152.0620681
-0.010137465,157.6790044
0.058985066,155.6209578
-3.244366147,130.0412627
4.36127812,109.2903407
-0.408426054,113.4122125
0.03532742,122.0824108
0.395294853,
-2.648554996,
2.837183017,
0.183178715,
-0.695930656,
-0.25598358,
0.46665892,
-0.288311571,
0.487844422,
0.095363066,
-0.00507427,
0.287768453,
0.074471273,
-0.025953356,
0.426091116,
-0.307734322,
0.58277512,
0.509516429,
-0.17333319,
0.216303442,
0.122739684,
0.098098282,
0.123917621,
0.222019978,
0.461043734,
-0.248883415,
0.061207045,
0.397897612,
-0.190919068,
-0.037682731,
0.201154795,
-0.011644829,
-2.002116859,
2.602888677,
-1.870044209,
1.928109828,
0.465154126,
-1.18870594,
2.164687224,
-0.295981556,
-2.043336943,
2.468965899,
-0.081185147,
1.268949326,
-0.450485274,
-0.551208157,
0.396994866,
-0.17274633,
-1.192431748,
0.530662771,
1.172000203,
-1.587317336,
2.189209688,
0.293534964,
0.062710576,
-0.308732361,
-0.235254459,
0.09919272,
-0.190537807,
0.720513705,
0.023286119,
0.251205865,
-0.469423953,
0.775866013,
-0.018451378,
0.129505772,
-0.979370005,
1.163036406,
0.63477708,
-3.307363041,
4.031321183,
0.502425171,
-0.910665032,
-0.473637026,
0.424506109,
-0.423569404,
0.851932693,
0.725342803,
-0.66028855,
0.873840425,
-0.494872514,
0.163395308,
-0.255276706,
0.092161078,
0.012367338,
0.390311174,
0.059475176,
0.481013577,
-1.168202326,
1.423764441,
0.030590177,
0.038717676,
0.072111264,
-0.073275965,
-2.191539466,
3.968600266,
-0.620136995,
-0.356532764,
-0.129329104,
0.565577243,
0.17257908,
-1.36813708,
0.106092338,
-0.548536289,
1.636784498,
0.556809369,
0.113179624,
-0.596914865,
0.068645723,
-0.554248925,
1.756392412,
-0.303734295,
-0.136753663,
-0.29523905,
0.500100393,
-0.346601225,
-0.131769896,
0.434504781,
0.390939638,
-0.178716615,
1.190887563,
-0.362176977,
-0.321347609,
-1.55442572,
0.683380138,
0.368443646,
0.131465152,
0.345419288,
0.303175792,
0.223138727,
0.218836162,
0.045865551,
-0.14854363,
0.475906122,
