system_time,gps_time,latitude,longtide,altitude,sog,cog,accuracy
1521988989921,1521978222000,31.15729666666667,34.53396,1900.7,6.590503215789795,88.98999786376953,9.100000381469727
1521988990930,1521978223000,31.157339999999998,34.53402833333334,1900.6,6.617783546447754,74.66999816894531,8.899999618530273
1521988991925,1521978224000,31.157368333333338,34.53409666666666,1900.5,6.651755332946777,69.72000122070312,8.800000190734863
1521988992918,1521978225000,31.157390000000003,34.534151666666666,1900.5,6.56888484954834,67.19999694824219,8.699999809265137
1521988993899,1521978226000,31.157415,34.53421166666667,1900.5,6.489102840423584,66.01000213623047,8.600000381469727
1521988994922,1521978227000,31.157441666666667,34.53427166666667,1900.4,6.393364906311035,64.68000030517578,8.5
1521988995923,1521978228000,31.157466666666664,34.53432833333333,1900.3,6.273434638977051,61.18000030517578,8.399999618530273
1521988996920,1521978229000,31.157484999999998,34.53437833333333,1900.3,6.117473602294922,62.4900016784668,8.300000190734863
1521988997929,1521978230000,31.157503333333338,34.53441833333333,1900.2,5.8899664878845215,58.84000015258789,8.199999809265137
1521988998905,1521978231000,31.157526666666666,34.53445,1900.1,5.599663257598877,46.400001525878906,8.100000381469727
1521988999921,1521978232000,31.157561666666666,34.53447666666667,1900.0,5.34744930267334,34.06999969482422,8.100000381469727
1521989000921,1521978233000,31.157598333333333,34.53449,1900.0,5.096264839172363,21.989999771118164,8.100000381469727
1521989001923,1521978234000,31.15763833333333,34.53451,1899.9,4.853315830230713,20.850000381469727,8.0
1521989002893,1521978235000,31.157658333333334,34.53452166666667,1899.9,4.5866899490356445,25.290000915527344,8.0
1521989003930,1521978236000,31.157676666666664,34.534531666666666,1899.8,4.2588114738464355,23.489999771118164,8.0
1521989004921,1521978237000,31.157693333333334,34.53454,1899.8,3.8851232528686523,22.200000762939453,8.100000381469727
1521989005918,1521978238000,31.15771833333333,34.534549999999996,1899.8,3.567539691925049,23.719999313354492,8.100000381469727
1521989006920,1521978239000,31.157738333333334,34.534560000000006,1899.8,3.308119773864746,23.850000381469727,8.199999809265137
1521989007931,1521978240000,31.15776166666667,34.53456833333333,1899.9,3.130540609359741,25.09000015258789,8.300000190734863
1521989058923,1521978291000,31.16088,34.53196833333333,1901.7,2.7578816413879395,31.360000610351562,9.0
1521989059922,1521978292000,31.1609,34.53191833333334,1896.5,2.727513074874878,38.709999084472656,8.100000381469727
1521989060964,1521978293000,31.160893333333334,34.53190166666666,1891.7,2.6307451725006104,44.02000045776367,7.699999809265137
1521989061919,1521978294000,31.16093166666667,34.53192166666667,1886.6,2.7146449089050293,56.63999938964844,7.400000095367432
1521989062900,1521978295000,31.161029999999997,34.531995,1878.8,2.9411227703094482,71.81999969482422,8.0
1521989063989,1521978296000,31.161031666666666,34.532005000000005,1876.9,3.1974544525146484,80.13999938964844,8.0
1521989064913,1521978297000,31.161028333333334,34.532021666666665,1875.4,3.4146671295166016,92.54000091552734,8.0
1521989065975,1521978298000,31.16102,34.53203666666666,1874.1,3.5901875495910645,102.55000305175781,8.0
1521989066967,1521978299000,31.160996666666666,34.532048333333336,1873.0,3.7466630935668945,117.70999908447266,8.0
1521989067920,1521978300000,31.16097333333333,34.53206333333333,1872.2,4.02512788772583,122.98999786376953,8.0
1521989068900,1521978301000,31.16092833333333,34.53207166666667,1871.3,4.263443946838379,136.91000366210938,8.0
1521989069917,1521978302000,31.160905000000003,34.532093333333336,1870.6,4.397272109985352,131.9499969482422,7.900000095367432
1521989070920,1521978303000,31.16086833333333,34.532111666666665,1869.9,4.591322422027588,138.72000122070312,7.900000095367432
1521989071911,1521978304000,31.16083,34.53212666666666,1869.5,4.690663814544678,143.6300048828125,7.900000095367432
1521989072922,1521978305000,31.160768333333333,34.53215333333333,1869.2,4.823462009429932,148.25,7.900000095367432
1521989073922,1521978306000,31.160714999999996,34.53217666666667,1868.9,4.970672607421875,150.5399932861328,8.0
1521989074893,1521978307000,31.160655,34.532195,1868.7,5.1611199378967285,155.14999389648438,8.0
1521989075974,1521978308000,31.160590000000003,34.53221,1868.5,5.399950981140137,160.25,8.0
1521989076921,1521978309000,31.160508333333336,34.532223333333334,1868.3,5.706725120544434,163.8000030517578,8.0
